Bratislav-Kalsar|Mesto|Bratislav Kalsar|Namyslenosť je úžasná pasca, ako náhle do nej raz padnete, už niet úniku.|None|Human|Fighter|Jazierchat|Syrvaad|38|Mŕtvy|Sir, Jäger|Učiteľ|Ó, aký hrdý bol kedysi rod Kalsarov. Bájni bojovníci, ktorých meno sa nieslo svetom ako prísľub nádeje. Boli to oni, kto prvý ukázal, že pred monštrami sa netreba len skrývať, že sa s nimi dá bojovať, poraziť ich a zatlačiť späť do temnôt, odkiaľ prišli. Vďaka nim vznikli akadémie, vďaka nim sa ľudia naučili stáť vzpriamene aj pred hradbami miest. Hoci svet zostáva nebezpečný a každým krokom ďalej od civilizácie rastie riziko, to, čo dnes považujeme za „bezpečné“, existuje len vďaka Kalsarovcom.A predsa ich príbeh nemal slávny koniec. Je až tragické, ako tento rod padol. Hlavná vetva zanikla počas jediného večera v roku 715 pri náhlem, nečakanom útoku na ich rodné sídlo uprostred rodinných osláv.<br>Bratislav, posledný vodca rodu, mal štyri deti, troch synov a dcéru. Neprežil nikto. Zostali len roztrúsené telá a ticho, ktoré po nich nasledovalo. Ich sídlo dodnes stojí opustené, pomaly ho pohlcuje príroda a nikto sa neodváži vstúpiť do jeho tieňov. Leží príliš ďaleko od mesta a príšery si ho rýchlo privlastnili, akoby čakali práve na túto chvíľu.<br>Niektorí hovoria, že neskorší Kalsarovci stratili ostrosť, že sa viac spoliehali na bohatstvo, magické artefakty a svoju povesť než na vlastnú silu. Že bojovali menej, a práve preto sa stali zraniteľnými. Iní však tvrdia opak, že boli ešte väčší než ich predchodcovia, pretože sa o svoje poznanie podelili so svetom a umožnili vznik novej generácie bojovníkov. Pravda sa ale stratila spolu s nimi. No jedno je isté, ich pád narušil rovnováhu. A podľa toho, ako sa monštrá opäť pohybujú v tieňoch, sa zdá, že svet už začína cítiť následky ich neprítomnosti...
Ilian-Bekalsar|Znalec|Ilian Bekalsar   Dedič|Svet nie je fér, žiaden rodič by nemal prežiť svoje dieťa ale v našom svete sa to deje denne.|Spark of Bekalsar|Hafl-Elf (Human)|Fighter|Lesohaj|Zylhana|88|Živý|Jäger|Solista Lovec|Rod Kalsar bol prvým, kto svetu priniesol nádej a ukázal, že monštrá možno skutočne poraziť. Napriek tomu však nikdy nevynikal v mágii v ich rukách bola vždy nestála, akoby sa sama zdráhal podvoliť. Tento nepomer sa zmenil až s narodením Iliana. Hoci už nepatrí priamo k hlavnej vetve rodu Kalsar, ale pochádza z línie Bekalsar, jeho pôvod v sebe nesie niečo výnimočné. Možno preto, že jeho matka bola elfka a vďaka tejto krvi v ňom mágia prúdi čistejšie, prirodzenejšie a s väčšou silou než u ktoréhokoľvek z jeho Kalsarských predkov.<br>Ilian zdedil bojové schopnosti svojho rodu, no na rozdiel od nich si podmanil aj umenie mágie, ktoré sa preňho stalo rovnocennou, ak nie silnejšou doménou. Je zosobnením toho, čím sa rod Kalsar nikdy úplne nestal, harmóniou medzi oceľou a čarami. Osud však nebol milosrdný. Ilian je posledným z vetvy Bekalsarov, keďže jeho syn padol počas poslednej skúšky, ktorej čelil. Odvtedy v ňom zostala trpkosť, ktorá zatienila jeho kedysi jasnejšiu povahu, a namiesto dediča budúcnosti sa stal osamelým lovcom, putujúcim svetom bez cieľa, len s vlastným tieňom po boku.<br>Jeho cesta je nebezpečná a plná temnoty, no nik ho nedokáže odradiť. Ľudia ho nazývajú Dedičom. Bol to titul, ktorý kedysi niesol nádej, no dnes znie skôr ako ozvena straty. Raz mu niekto povedal „posledný dedič“. Ten človek potom zmizol. Nikto nevie kam, no všetci tušia pravdu, ktorú sa nik neodváži vysloviť nahlas.
Ian-Bekalsar|Ochranca|Ian Bekalsar|Keď môj otec je iskra nového veku, tak ja musím byť plameň!|None|Human|Fighter|Jazierchat|Haš|33|Mŕtvy|Hed|Lovec študent - Skupina 735~1|"Ian Bekalsar bol nesmierne hrdý na svoj pôvod aj na svojho otca, ktorý dal vznik novej línii ""Kalsarov"" spájajúcich oceľ s mágiou v boji proti príšerám. Bekalsarovci sa stali žiarivým klenotom kedysi slávneho rodu Kalsar a Ian túto hrdosť nosil ako znak svojej identity. Bol ambiciózny, možno až priveľmi. Túžil dosiahnuť veľké veci, prekročiť hranice, zanechať stopu. No viac než čokoľvek iné chcel všetko dosiahnuť rýchlo. Nemal totiž tú výhodu, ktorú mal jeho otec, nenarodil sa do vznešenej, dlhovekej línie s elfskými črtami, ale ako obyčajný človek, ktorému čas nikdy nedal rovnaký priestor. A tak sa rozhodol, že ho dobehne… a potom aj predbehne, v každom jednom smere.<br>A darilo sa mu. Na akadémii žiaril tak jasne, že zatienil mnohých svojich rovesníkov. Jeho bratranec Radegard musel vynaložiť všetko úsilie, aby s ním dokázal držať krok, no práve Ianova húževnatosť a odhodlanie ho zároveň poháňali vpred. Boli si navzájom oporou aj výzvou. Ian však nebol len sústredený, bol aj veselý a stal sa radosťou ostatných, niesol so sebou ľahkosť, ktorú si mnohí spájali s nádejou. Vždy sa snažil chrániť druhých, stáť medzi nimi a nebezpečenstvom, akoby to bola jeho prirodzená úloha.<br>Lenže počas poslednej skúšky, ktorá mala rozhodnúť o ich prijatí medzi Jägerov, sa všetko skončilo. Ian bol zabitý. A s jeho smrťou sa zlomilo viac než len jeden život. Radegard z tej straty nikdy celkom nevyšiel a Ilian, jeho otec, v sebe dodnes nesie ticho, ktoré po ňom zostalo. Ian bol svetlom, no tento svet má tendencia pohltiť aj najjasnejšie svetlo."
Radegar-Alkalsar|Absorber|Radegar Alkalsar|Ak mi nechceš kúpiť súdok tak si sem ani nesadaj...|None|Human|Fighter|Jazierchat|Zariana|38|Živý|Hed|Lovec študent - Skupina 735~1|Ak bol rod Kalsar symbolom lovcov príšer a Bekalsar jeho vetvou, ktorá dokázala spojiť mágiu s oceľou, potom Alkalsar bol vždy čiernou ovcou tejto pokrvnej línie. Ich meno sa spájalo s tieňmi a s cestami, ktorým sa ostatní radšej vyhýbali. Keďže Kalsarovcom mágia nikdy neprúdila prirodzene, niektorí z nich začali hľadať jej zdroj inde, hlbšie, temnejšie, tam, kde si sila vždy pýta svoju cenu. A Alkalsarovci túto cestu aj prijali. Temné zdroje, ku ktorým sa obracali, si vyžadovali obete, často kruté a nevyhnutné, čo ich viedlo k rituálom, ktoré balancovali na hrane šialenstva, a neraz aj priamo kriminálnej činnosti.<br>Radegar nebol výnimkou z tejto pošpinenej povesti, no jeho osud sa zmenil, nie voľbou ale trestom. Nebol vybraný do akadémie pre talent či česť, ale bol tam poslaný ako väzeň. Jeho otec zahynul pri poslednom pokuse o prevrat moci a Radegara zajali. Akadémia sa preňho stala skôr väzením než príležitosťou. Práve tam sa však prvýkrát na dlhší čas stretol so svojím bratrancom Ianom. A nenávidel ho. Ian bol všetkým, čím Radegar nebol, lepší, rýchlejší, obdivovaný. No práve táto nenávisť sa stala zvláštnym druhom motivácie. V tieni svojho rivala začal Radegar objavovať vlastné schopnosti, hlboko zakorenené v jeho rode, na ktoré by inak možno nikdy nenarazil.<br>Postupne sa menil. Snažil sa, zatínal zuby, zlepšoval sa. Z trestanca sa stával bojovník, ktorý v sebe niesol isté cnosti. Bol to prvý Alkalsar, ktorý mohol očistiť meno svojej vetvy a prinavrátiť jej stratenú česť. Mohol byť mostom späť k sláve Kalsarovcov. Lenže osud sa opäť zmenil. Počas poslednej skúšky Ian zomrel a s ním sa zlomilo aj niečo v Radegarovi. To, čo si tak dlho budoval, sa rozpadlo.<br>Dnes ho možno nájsť skôr v zadymených tavernách než na bojiskách. Z lovca sa stal muž, ktorý bojuje už len sám so sebou a pre almužnu. Je zatrpknutý, podráždený, agresívny. Meč nahradil pohárom, pričom jeho kroky vedú čoraz častejšie len jedným smerom, k baru. V jeho vnútri zostalo veľa hnevu, ešte viac bolesti… a priveľa alkoholu, aby ich dokázal umlčať. Keď však predsa len vyjde von a opäť sa chopí meča, nerobí to pre česť ani pre povinnosť, ale len pre peniaze, pre ďalší pohár, pre krátky pokoj, pre temný kút, kde môže na chvíľu zabudnúť. V boji je čoraz nevyspytateľnejší a nebezpečnejší. Hoci roky netrénoval, jeho schopnosti nezhrdzaveli, práve naopak, akoby ich pretavila vlastná temnota. To, čo v ňom kedysi mohlo priniesť vykúpenie, sa teraz mení na niečo oveľa surovejšie… a oveľa temnejšie.
Lalia-Rosa|Akademia|Lalia Rosa|None|None|Race|Focus|Origin|God|Age|Živá|Title|Správca kráľovských záhrad Jazierchatu|Description
Mera-Deva|Akademia|Astra Beliova|None|None|Race|Focus|Origin|God|Age|Živá|Title|Jazerná pani Jazierchatu|Description
Dajana-Abalone|Akademia|Dajana Abalone|None|None|Race|Focus|Origin|God|Age|Živá|Title|Kráľovský Mág|Description
Naria-Aqu'tia|Akademia|Naria Aqu'tia|None|None|Race|Focus|Origin|God|Age|Živá|Title|Ambasádor Jazierchatu|Description
Astra-Beliova|Akademia|Astra Beliova|None|None|Race|Focus|Origin|God|Age|Živá|Title|Listonoš Jazierchatu|Description
Bernard-Kováčik|Akademia|Bernard Kováčik|None|None|Race|Focus|Origin|God|Age|Živý|Title|Hlavný profesor Jazierchatu|Description
Božena-Dlhoprstova|Akademia|Božena Dlhoprstova|None|None|Race|Focus|Origin|God|Age|Živá|Title|Výdajca predmetov Jazierchatu|Description
regor|Akademia, Bohovia|Isobela Ignis|None|None|Race|Focus|Origin|God|Age|Živá|Title|Správca kapnlky Jazierchatu|Description
Kurst-Ntak|Mesto|Kurst Ntak|None|None|Race|Focus|Origin|God|Age|Živý|Title|Velitel stráži Jazierchatu|Description
Ostor-Flo'rani|Akademia|Ostor Flo'rani|None|None|Race|Focus|Origin|God|Age|Živý|Title|Správca záhrad Jazierchatu|Description
Pankrác-Sadlomas|Akademia|Pankrác Sadlomas|None|None|Race|Focus|Origin|God|Age|Živý|Title|Vrchný kuchár Jazierchatu|Description
Urbon-Fik|Akademia|Urbon Fik|None|None|Race|Focus|Origin|God|Age|Živý|Title|Alchemic Jazierchatu|Description
Vivien-Fik|Akademia|Vivien Fik|None|None|Race|Focus|Origin|God|Age|Živá|Title|Kováč Jazierchatu|Description
Wena-Bezmena|Akademia|Wena Bezmena|None|None|Race|Focus|Origin|God|Age|Živá|Title|---|Description
Žigmun-Ropak|Akademia|Žigmund Ropak|None|None|Race|Focus|Origin|God|Age|Živý|Title|Kováč Jazierchatu|Description
Pier-Ursidae|Akademia, Ochranca|Pier Ursidae|None|None|Human|Fighter|Jazierchat|Errasa|55|Živý|Jäger|Krčmár Jazierchatu, Lovec skupiny 720|Description
Joe-Ursidea|Mesto, Absorber|Joe Ursidae – Opatrovateľ|None|Keeper of the Wild Flame|Human|Fighter|Jazierchat|Ursox|36|Živý|Hed|Opatroval Magických tvorov, Ex-študent - Skupina 735~1|Description
Aren-Vey-Lady|Akademia|Aren Vey|None|None|Race|Focus|Origin|God|Age|Živá|Title|Krčmárka Jazierchatu|Description
Kajn-leba-Stablemaster|Akademia|Kajn leba|None|None|Race|Focus|Origin|God|Age|Živý|Title|Stajniar Jazierchatu|Description
Mia-Krostova-Dorm|Akademia|Mia Krostova|None|None|Race|Focus|Origin|God|Age|Živá|Title|Domovníčka Jazierchatu|Description
Olqan-Eroz-Archivar|Akademia|Olqan Eroz|None|None|Race|Focus|Origin|God|Age|Živý|Title|Archivár Jazierchatu|Description
Maria-Šiphova-Medic|Akademia|Maria Šiphova|None|None|Race|Focus|Origin|God|Age|Živá|Title|Liečiteľka Jazierchatu|Description
Richard-Dkn|Absorber|Richard Dkn – Mutant|None|Richard the Mutant|Half-Orc|Rogue|Granulia|Bland|40|Živý|Hed|Učiteľ, Lovec Skupina 730|Na prvý pohľad pôsobí ako príšera z nočných môr, telo polo-Orka poznačené rokmi bezohľadného využívania esencie sa pretvorilo do podoby, ktorú si mnohí mýlia so strygou. Svaly i koža nesú jazvy nadprirodzených premien a jeho oči žiaria cudzím svetlom. No hoci jeho vzhľad vzbudzuje strach, skutočná povaha ho prezrádza inak: je priateľský, otvorený a loajálny. Ovláda luk s pozoruhodnou presnosťou a esenciu s takou ľahkosťou, že sa zdá, akoby mu pretekala žilami. Je paradoxom sám o sebe – desivý navonok, no blízky a spoľahlivý spoločník pre tých, čo sa odvážia priblížiť.
Melion-Lor’niala|Popravca|Melion Lor’niala   Dym|None|Shadow and Starfire|Elf (Drow)|Rogue|Lesohaj|Vacan|189|Živý|Hed|Učiteľ, Lovec Skupina 730|Narodil sa ako druhý syn urodzenej rodiny, vždy v tieni svojej staršej sestry. Kým ona pútala pozornosť a obdiv, on zostával nepovšimnutý. Pozorne sledoval dianie okolo seba a učil sa, kým si iní jeho prítomnosť sotva všímali. Z nenápadného mladíka vyrástol schopný aristokrat, ktorý vie viesť zdvorilé rozhovory v sieňach šľachty, no zároveň sa osvedčil aj v boji so zbraňou v ruke. Jeho pravou silou však zostáva schopnosť pohybovať sa nevidený, zostať skrytý v pozadí a objaviť sa až vtedy, keď nastane tá správna chvíľa.
Enedrie-Onaior|Krotiteľ|Enedrie Onaior   Struna|Ak si nikdy nepretrhol strunu, nevieš čo je to hrať!|Serenade of Fire and Elysium|Tiefling|Bard|Pieskostan|Beau|38|Živá|Hed|Učiteľ, Lovec Skupina 730|Táto tieflingská bardka je známa svojím pokojným a nežným hlasom, ktorý dokáže upokojiť ducha a obmäkčiť srdce. No keď sa rozčertí, jej spev získa silu, akoby sa z jej hrdla ozývali samotné plamene pekla – zvuk taký mocný, že dokáže otriasť stenami. Jej vernou spoločníčkou je 16-strunová harfa, na ktorej hrá s vášňou, ktorá neraz prerastie do takého entuziazmu, že pri predstavení praskne struna. Napriek týmto drobným nehodám jej hudba nikdy nestráca čaro, a práve v nej sa spája krása a sila, ktoré z nej robia nezabudnuteľnú krotiteľku.
Ludvik-Grats|Ochranca|Ludvik Grats   Snehumil|None|The Light Behind Ludvik's Fist|Human|Cleric/Barbarian|Jazierchat|Rohan|46|Živý|Hed|Učiteľ, Lovec Skupina 730|Mladší brat Bolyvara a rešpektuhodný lovec vo svojom vlastnom odbore. Ludvik ma omnoho pokojnejšiu povahu než jeho brat a pravdepodobne aj preto si zvolil inú fakultu alebo možno len následoval stopy najstaršieho brata, Gregoriho. Posledné roky trávil Ludvik v Chladohrade kde pracoval na výpravách za Aurora Serpentom. Nové povinnosti ho však zavolali späť do rodného mesta Jazierchatu.
Niliana-Lor’niala|Znalec|Niliana Lor’niala   Svetlica|None|Shadow and Starfire|Elf (Drow)|Wizard|Lesohaj|Elavalur|189|Živá|Hed|Učiteľ, Lovec Skupina 730|Na rozdiel od svojho mladšieho brata vždy stála v popredí. Ľudia ju obklopovali, rozprávali sa s ňou, hľadali jej pozornosť a ona si ju užívala. Bola šťastná vždy, keď mohla žiariť v strede diania, a práve táto túžba po svetle ju priviedla k najznámejšiemu kúzlu, ktoré vytvorila – zaklínadlu, schopnému oslepiť a očariť celú miestnosť jediným gestom. Pre jej povahu a mocnú mágiu jej prischlo meno Svetlica. Hoci je jej koža tmavá ako uhlie jej prítomnosť žiari tak, že ju nemožno prehliadnuť.
Henrieta-Gûl'hosta|Znalec|Henrieta Gûl'hosta|None|None|Elf (Drow)|Wizard|Juhiera|Zylhana|189|Živá|---|Lovec študent - Skupina 750~1|Mladá kúzelníčka z nižšej šľachty elfského rodu, ktorá má už za sebou prvé skúšky mágie a obstála v nich so cťou. Je znalá, no jej najväčšou prednosťou nie je iba vedomosť, ale aj neutíchajúca snaha a mladícka ambicióznosť. Hoci ešte nemá toľko skúseností ako jej starší druhovia, jej odhodlanie a chuť rásť ju neraz posunuli ďalej, než by kto očakával. V jej očiach sa spája iskra zvedavosti s túžbou po uznaní – a je jasné, že pred sebou má cestu, ktorá môže viesť k veľkým veciam.
Lea-Líška|Popravca|Lea Líška|None|None|Human|Fighter|Jazierchat|Syrvaad|22|Živá|---|Lovec študent - Skupina 750~1|Mladá bojovníčka, odvážna a neskrotná, ktorá sa len málokedy nechá zastrašiť. Jej srdce horí obdivom k legendárnemu hrdinovi menom Dexter Kold. Neváha o ňom hovoriť s úctou, bez hanby priznáva, že je jej vzorom a túži sa mu priblížiť skutkami i odvahou. Verí, že v jej žilách koluje jeho krv – krv bohov, ktorá dala svetu hrdinu zapísaného do piesní a príbehov. Práve táto viera jej dodáva silu a odvahu postaviť sa nebezpečenstvám, ktoré by iní obchádzali. Je ešte mladá, no jej odhodlanie a túžba niesť dedičstvo hrdinov ju robia neprehliadnuteľnou.
Leander-Goro|Krotiteľ|Leander Goro|None|None|Tiefling|Bard|Pieskostan|Zael|24|Živý|---|Lovec študent - Skupina 750~1|Mladý tiefling, ktorého vystupovanie je plné sebavedomia, ambície a neraz až namyslenosti. No jeho prirodzený šarm spôsobuje, že mu to málokto vyčíta – vie si získať pozornosť i sympatie, aj keď pôsobí povýšene. Sám seba rád opisuje ako nežného k ženám, zvieratám a v podstate ku všetkým, a hoci je v tom cítiť kus sebaprezentácie, jeho úprimná snaha zapôsobiť sa nedá poprieť. Je poháňaný túžbou zapísať svoje meno do dejín a stať sa prvým zo svojho rodu, ktorý naozaj niečo znamená.
Oto|Ochranca|Oto|None|None|Goliath|Paladin|Ruiny Temnoty|Koniec|37|Živý|---|Lovec študent - Skupina 750~1|Prišiel z iného sveta, no o sebe prezradí len málo. Slová šetrí, no jeho prítomnosť hovorí zaňho – je mocný a pevný ako kameň. Hovorí sa, že na túto cestu ho vyslal samotný boh, ktorému slúži. A to meno, ktoré jeho boha sprevádza, budí strach: Koniec. Jeho úlohou je stať sa lovcom. Jeho mlčanie i neústupná sila pôsobia desivo, no zároveň vzbudzujú úctu.
